surface,yomi,original,type,katsuyoukei,katsuyougata,内容
品詞,ヒンシ,品詞,名詞-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
など,ナド,など,助詞-副助詞,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
の,ノ,の,助詞-連体化,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
間,マ,間,名詞-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
に,ニ,に,助詞-格助詞-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
は,ハ,は,助詞-係助詞,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
「,「,「,記号-括弧開,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
\,\,\,記号-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
t,t,t,名詞-固有名詞-組織,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
」,」,」,記号-括弧閉,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
が,ガ,が,助詞-格助詞-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
、,、,、,記号-読点,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
分かち書き,ワカチガキ,分かち書き,名詞-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
さ,サ,する,動詞-自立,サ変・スル,未然レル接続,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
れ,レ,れる,動詞-接尾,一段,連用形,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
た,タ,た,助動詞,特殊・タ,基本形,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
単語,タンゴ,単語,名詞-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
と,ト,と,助詞-並立助詞,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
単語,タンゴ,単語,名詞-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
の,ノ,の,助詞-連体化,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
区切り,クギリ,区切り,名詞-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
に,ニ,に,助詞-格助詞-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
は,ハ,は,助詞-係助詞,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
「,「,「,記号-括弧開,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
\,\,\,記号-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
n,n,n,名詞-固有名詞-組織,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
」,」,」,記号-括弧閉,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
が,ガ,が,助詞-格助詞-一般,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
表示,ヒョウジ,表示,名詞-サ変接続,,,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
さ,サ,する,動詞-自立,サ変・スル,未然レル接続,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
れる,レル,れる,動詞-接尾,一段,基本形,原形、品詞などの間には「\t」が、分かち書きされた単語と単語の区切りには「\n」が表示される
まずは,マズハ,まずは,接続詞,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
parse,パース,Parse,名詞-固有名詞-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
(),カッコ,(),名詞-固有名詞-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
で,デ,で,助詞-格助詞-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
分かち書き,ワカチガキ,分かち書き,名詞-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
し,シ,する,動詞-自立,サ変・スル,連用形,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
た,タ,た,助動詞,特殊・タ,基本形,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
単語,タンゴ,単語,名詞-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
群,グン,群,名詞-接尾-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
は,ハ,は,助詞-係助詞,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
1つ,ヒトツ,1つ,名詞-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
の,ノ,の,助詞-連体化,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
文字列,モジレツ,文字列,名詞-固有名詞-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
型,ガタ,型,名詞-接尾-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
に,ニ,に,助詞-格助詞-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
なっ,ナッ,なる,動詞-自立,五段・ラ行,連用タ接続,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
て,テ,て,助詞-接続助詞,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
いる,イル,いる,動詞-非自立,一段,基本形,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
ので,ノデ,ので,助詞-接続助詞,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
「,「,「,記号-括弧開,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
\,\,\,記号-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
n,n,n,名詞-固有名詞-組織,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
」,」,」,記号-括弧閉,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
で,デ,で,助詞-格助詞-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
区切り,クギリ,区切る,動詞-自立,五段・ラ行,連用形,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
、,、,、,記号-読点,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
リスト,リスト,リスト,名詞-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
型,ガタ,型,名詞-接尾-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
に,ニ,に,助詞-格助詞-一般,,,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
する,スル,する,動詞-自立,サ変・スル,基本形,まずはparse()で分かち書きした単語群は1つの文字列型になっているので「\n」で区切り、リスト型にする
次に,ツギニ,次に,接続詞,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
邪魔,ジャマ,邪魔,名詞-形容動詞語幹,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
な,ナ,だ,助動詞,特殊・ダ,体言接続,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
文字,モジ,文字,名詞-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
「\,「\,「\,記号-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
t,t,t,名詞-固有名詞-組織,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
」,」,」,記号-括弧閉,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
を,ヲ,を,助詞-格助詞-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
省き,ハブキ,省く,動詞-自立,五段・カ行イ音便,連用形,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
たい,タイ,たい,助動詞,特殊・タイ,基本形,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
。,。,。,記号-句点,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
よって,ヨッテ,よって,接続詞,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
、,、,、,記号-読点,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
split,split,split,名詞-固有名詞-組織,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
('\,('\,('\,記号-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
t,t,t,名詞-固有名詞-組織,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
'),'),'),記号-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
を,ヲ,を,助詞-格助詞-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
使用,シヨウ,使用,名詞-サ変接続,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
し,シ,する,動詞-自立,サ変・スル,連用形,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
たい,タイ,たい,助動詞,特殊・タイ,基本形,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
が,ガ,が,助詞-接続助詞,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
wakatid,wakatid,wakatid,名詞-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
_,_,_,記号-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
text,テクスト,text,名詞-固有名詞-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
は,ハ,は,助詞-係助詞,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
文字列,モジレツ,文字列,名詞-固有名詞-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
型,ガタ,型,名詞-接尾-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
で,デ,で,助詞-格助詞-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
は,ハ,は,助詞-係助詞,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
なく,ナク,ない,助動詞,特殊・ナイ,連用テ接続,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
リスト,リスト,リスト,名詞-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
型,ガタ,型,名詞-接尾-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
の,ノ,の,助詞-連体化,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
ため,タメ,ため,名詞-非自立-副詞可能,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
split,split,split,名詞-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
関数,カンスウ,関数,名詞-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
を,ヲ,を,助詞-格助詞-一般,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
使用,シヨウ,使用,名詞-サ変接続,,,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
でき,デキ,できる,動詞-自立,一段,未然形,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
ない,ナイ,ない,助動詞,特殊・ナイ,基本形,次に邪魔な文字「\t」を省きたい。よって、split('\t')を使用したいがwakatid_textは文字列型ではなくリスト型のためsplit関数を使用できない
